athlete_id,date,time_s,heart_rate_bpm,speed_kmh
A001,2026-11-09,0,85.0,0.94
A001,2026-11-09,1,80.0,2.84
A001,2026-11-09,2,80.0,2.58
A001,2026-11-09,3,81.0,3.45
A001,2026-11-09,4,83.0,1.17
A001,2026-11-09,5,82.0,2.87
A001,2026-11-09,6,81.0,2.04
A001,2026-11-09,7,81.0,2.48
A001,2026-11-09,8,81.0,1.01
A001,2026-11-09,9,81.0,2.88
A001,2026-11-09,10,87.0,2.47
A001,2026-11-09,11,83.0,1.98
A001,2026-11-09,12,84.0,2.39
A001,2026-11-09,13,81.0,1.54
A001,2026-11-09,14,82.0,1.65
A001,2026-11-09,15,81.0,1.72
A001,2026-11-09,16,77.0,0.89
A001,2026-11-09,17,80.0,2.52
A001,2026-11-09,18,79.0,2.71
A001,2026-11-09,19,78.0,1.58
A001,2026-11-09,20,80.0,2.21
A001,2026-11-09,21,85.0,1.84
A001,2026-11-09,22,82.0,2.2
A001,2026-11-09,23,85.0,1.62
A001,2026-11-09,24,83.0,1.47
A001,2026-11-09,25,84.0,2.63
A001,2026-11-09,26,81.0,1.96
A001,2026-11-09,27,83.0,3.21
A001,2026-11-09,28,84.0,2.03
A001,2026-11-09,29,81.0,1.44
A001,2026-11-09,30,84.0,2.74
A001,2026-11-09,31,84.0,2.38
A001,2026-11-09,32,81.0,2.44
A001,2026-11-09,33,80.0,2.71
A001,2026-11-09,34,80.0,1.61
A001,2026-11-09,35,83.0,1.92
A001,2026-11-09,36,83.0,1.9
A001,2026-11-09,37,81.0,1.23
A001,2026-11-09,38,82.0,1.84
A001,2026-11-09,39,84.0,2.8
A001,2026-11-09,40,84.0,2.14
A001,2026-11-09,41,86.0,1.19
A001,2026-11-09,42,85.0,1.07
A001,2026-11-09,43,80.0,3.0
A001,2026-11-09,44,86.0,1.95
A001,2026-11-09,45,81.0,1.61
A001,2026-11-09,46,84.0,1.84
A001,2026-11-09,47,83.0,1.11
A001,2026-11-09,48,82.0,2.85
A001,2026-11-09,49,79.0,1.76
A001,2026-11-09,50,82.0,2.82
A001,2026-11-09,51,79.0,2.03
A001,2026-11-09,52,84.0,2.86
A001,2026-11-09,53,85.0,2.15
A001,2026-11-09,54,81.0,2.51
A001,2026-11-09,55,83.0,2.43
A001,2026-11-09,56,81.0,2.37
A001,2026-11-09,57,81.0,2.21
A001,2026-11-09,58,84.0,1.86
A001,2026-11-09,59,82.0,3.15
A001,2026-11-09,60,86.0,1.46
A001,2026-11-09,61,81.0,2.0
A001,2026-11-09,62,84.0,2.01
A001,2026-11-09,63,83.0,2.24
A001,2026-11-09,64,84.0,1.74
A001,2026-11-09,65,82.0,2.19
A001,2026-11-09,66,82.0,1.9
A001,2026-11-09,67,82.0,1.05
A001,2026-11-09,68,81.0,2.01
A001,2026-11-09,69,84.0,1.34
A001,2026-11-09,70,84.0,0.96
A001,2026-11-09,71,84.0,2.08
A001,2026-11-09,72,85.0,2.29
A001,2026-11-09,73,85.0,2.32
A001,2026-11-09,74,82.0,2.34
A001,2026-11-09,75,83.0,0.84
A001,2026-11-09,76,81.0,1.18
A001,2026-11-09,77,82.0,3.18
A001,2026-11-09,78,81.0,1.37
A001,2026-11-09,79,86.0,2.37
A001,2026-11-09,80,83.0,1.59
A001,2026-11-09,81,82.0,2.05
A001,2026-11-09,82,85.0,1.62
A001,2026-11-09,83,78.0,2.34
A001,2026-11-09,84,78.0,2.08
A001,2026-11-09,85,84.0,1.73
A001,2026-11-09,86,83.0,1.37
A001,2026-11-09,87,83.0,2.16
A001,2026-11-09,88,80.0,1.27
A001,2026-11-09,89,83.0,2.26
A001,2026-11-09,90,,3.58
A001,2026-11-09,91,86.0,2.81
A001,2026-11-09,92,85.0,2.43
A001,2026-11-09,93,84.0,1.95
A001,2026-11-09,94,84.0,0.84
A001,2026-11-09,95,81.0,1.21
A001,2026-11-09,96,86.0,2.77
A001,2026-11-09,97,87.0,1.53
A001,2026-11-09,98,83.0,1.58
A001,2026-11-09,99,85.0,1.9
A001,2026-11-09,100,84.0,1.36
A001,2026-11-09,101,85.0,1.26
A001,2026-11-09,102,87.0,1.97
A001,2026-11-09,103,83.0,1.47
A001,2026-11-09,104,89.0,1.56
A001,2026-11-09,105,89.0,1.53
A001,2026-11-09,106,88.0,2.31
A001,2026-11-09,107,84.0,1.86
A001,2026-11-09,108,87.0,1.89
A001,2026-11-09,109,92.0,2.36
A001,2026-11-09,110,84.0,1.91
A001,2026-11-09,111,89.0,1.83
A001,2026-11-09,112,88.0,2.28
A001,2026-11-09,113,92.0,2.4
A001,2026-11-09,114,89.0,1.91
A001,2026-11-09,115,92.0,2.05
A001,2026-11-09,116,92.0,1.53
A001,2026-11-09,117,95.0,1.48
A001,2026-11-09,118,91.0,2.46
A001,2026-11-09,119,93.0,2.27
A001,2026-11-09,120,89.0,2.27
A001,2026-11-09,121,95.0,2.17
A001,2026-11-09,122,91.0,2.03
A001,2026-11-09,123,92.0,2.42
A001,2026-11-09,124,93.0,2.56
A001,2026-11-09,125,91.0,2.55
A001,2026-11-09,126,94.0,1.94
A001,2026-11-09,127,96.0,2.83
A001,2026-11-09,128,95.0,2.14
A001,2026-11-09,129,92.0,2.38
A001,2026-11-09,130,95.0,2.17
A001,2026-11-09,131,97.0,2.15
A001,2026-11-09,132,92.0,1.56
A001,2026-11-09,133,94.0,2.42
A001,2026-11-09,134,98.0,3.71
A001,2026-11-09,135,97.0,1.78
A001,2026-11-09,136,97.0,2.04
A001,2026-11-09,137,101.0,1.73
A001,2026-11-09,138,98.0,1.71
A001,2026-11-09,139,99.0,2.93
A001,2026-11-09,140,103.0,1.6
A001,2026-11-09,141,98.0,1.72
A001,2026-11-09,142,97.0,1.05
A001,2026-11-09,143,99.0,1.55
A001,2026-11-09,144,100.0,0.97
A001,2026-11-09,145,98.0,2.38
A001,2026-11-09,146,97.0,3.68
A001,2026-11-09,147,104.0,1.78
A001,2026-11-09,148,100.0,1.0
A001,2026-11-09,149,98.0,2.54
A001,2026-11-09,150,102.0,1.56
A001,2026-11-09,151,100.0,2.78
A001,2026-11-09,152,100.0,1.83
A001,2026-11-09,153,102.0,1.62
A001,2026-11-09,154,99.0,1.89
A001,2026-11-09,155,102.0,2.45
A001,2026-11-09,156,105.0,1.86
A001,2026-11-09,157,103.0,1.7
A001,2026-11-09,158,101.0,1.88
A001,2026-11-09,159,101.0,1.24
A001,2026-11-09,160,102.0,2.24
A001,2026-11-09,161,102.0,0.93
A001,2026-11-09,162,102.0,1.73
A001,2026-11-09,163,105.0,2.46
A001,2026-11-09,164,100.0,2.18
A001,2026-11-09,165,105.0,2.35
A001,2026-11-09,166,103.0,1.96
A001,2026-11-09,167,105.0,2.7
A001,2026-11-09,168,102.0,2.55
A001,2026-11-09,169,107.0,2.27
A001,2026-11-09,170,107.0,2.56
A001,2026-11-09,171,107.0,2.45
A001,2026-11-09,172,102.0,1.74
A001,2026-11-09,173,107.0,1.19
A001,2026-11-09,174,106.0,2.25
A001,2026-11-09,175,102.0,2.33
A001,2026-11-09,176,106.0,2.65
A001,2026-11-09,177,107.0,1.44
A001,2026-11-09,178,107.0,1.46
A001,2026-11-09,179,107.0,2.28
A001,2026-11-09,180,107.0,1.96
A001,2026-11-09,181,109.0,0.87
A001,2026-11-09,182,109.0,2.23
A001,2026-11-09,183,101.0,0.89
A001,2026-11-09,184,106.0,1.43
A001,2026-11-09,185,107.0,2.81
A001,2026-11-09,186,104.0,3.09
A001,2026-11-09,187,108.0,1.27
A001,2026-11-09,188,110.0,1.8
A001,2026-11-09,189,106.0,2.03
A001,2026-11-09,190,109.0,3.07
A001,2026-11-09,191,106.0,1.7
A001,2026-11-09,192,107.0,1.71
A001,2026-11-09,193,111.0,2.93
A001,2026-11-09,194,107.0,1.78
A001,2026-11-09,195,110.0,2.43
A001,2026-11-09,196,105.0,1.11
A001,2026-11-09,197,113.0,1.9
A001,2026-11-09,198,110.0,1.0
A001,2026-11-09,199,109.0,1.37
A001,2026-11-09,200,111.0,2.5
A001,2026-11-09,201,107.0,1.97
A001,2026-11-09,202,112.0,1.81
A001,2026-11-09,203,109.0,1.55
A001,2026-11-09,204,109.0,1.87
A001,2026-11-09,205,109.0,2.18
A001,2026-11-09,206,109.0,2.59
A001,2026-11-09,207,112.0,0.42
A001,2026-11-09,208,111.0,1.5
A001,2026-11-09,209,112.0,2.1
A001,2026-11-09,210,111.0,1.94
A001,2026-11-09,211,112.0,2.24
A001,2026-11-09,212,110.0,2.16
A001,2026-11-09,213,115.0,1.82
A001,2026-11-09,214,108.0,1.68
A001,2026-11-09,215,114.0,1.85
A001,2026-11-09,216,114.0,2.69
A001,2026-11-09,217,110.0,1.56
A001,2026-11-09,218,116.0,1.96
A001,2026-11-09,219,114.0,2.11
A001,2026-11-09,220,114.0,2.94
A001,2026-11-09,221,112.0,1.82
A001,2026-11-09,222,111.0,2.58
A001,2026-11-09,223,112.0,2.74
A001,2026-11-09,224,113.0,1.96
A001,2026-11-09,225,115.0,1.87
A001,2026-11-09,226,113.0,1.8
A001,2026-11-09,227,111.0,1.85
A001,2026-11-09,228,114.0,2.51
A001,2026-11-09,229,114.0,2.14
A001,2026-11-09,230,114.0,2.14
A001,2026-11-09,231,114.0,1.32
A001,2026-11-09,232,112.0,1.42
A001,2026-11-09,233,111.0,3.29
A001,2026-11-09,234,111.0,1.89
A001,2026-11-09,235,110.0,1.54
A001,2026-11-09,236,114.0,2.86
A001,2026-11-09,237,113.0,2.17
A001,2026-11-09,238,113.0,2.35
A001,2026-11-09,239,108.0,1.92
A001,2026-11-09,240,111.0,1.81
A001,2026-11-09,241,116.0,1.9
A001,2026-11-09,242,113.0,1.17
A001,2026-11-09,243,115.0,1.95
A001,2026-11-09,244,111.0,2.18
A001,2026-11-09,245,117.0,3.11
A001,2026-11-09,246,114.0,2.05
A001,2026-11-09,247,115.0,0.6
A001,2026-11-09,248,119.0,1.94
A001,2026-11-09,249,118.0,3.64
A001,2026-11-09,250,114.0,2.52
A001,2026-11-09,251,114.0,1.51
A001,2026-11-09,252,115.0,2.35
A001,2026-11-09,253,116.0,1.55
A001,2026-11-09,254,115.0,1.19
A001,2026-11-09,255,115.0,1.79
A001,2026-11-09,256,119.0,2.05
